instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static instance pattern_n pattern_d target_n target_d
A.11 0 0 0 0 0 1 9 6 0 12 0 0 0 A.11 180 0.0303538 200 0.0301005
si6_r005_m400.07 9 7 4 4 1 7 543 191 376 326 229 1 7 si6_r005_m400.07 240 0.0976987 400 0.0975063
si6_r005_m400.00 17 13 0 13 6 13 495 246 436 330 784 6 13 si6_r005_m400.00 240 0.0967922 400 0.0972682
si6_r005_m400.01 7 5 3 5 3 5 485 155 5026 3650 191 3 5 si6_r005_m400.01 240 0.0980474 400 0.0976441
si6_r005_m400.02 3 2 4 2 2 4 479 68 166 219 132 2 2 si6_r005_m400.02 240 0.0993724 400 0.0973308
si6_r005_m400.04 4 2 4 2 2 5 463 163 7 45 13 2 2 si6_r005_m400.04 240 0.0969317 400 0.0978697
si6_r005_m400.05 2 1 2 2 1 3 421 26 988 851 1947 1 1 si6_r005_m400.05 240 0.0952232 400 0.0974311
si6_r005_m400.09 1 0 0 1 1 2 597 55 73 130 8 1 0 si6_r005_m400.09 240 0.098954 400 0.0978446
si6_r005_m400.03 1 1 10 1 1 2 490 26 2485 1777 290 1 1 si6_r005_m400.03 240 0.0974547 400 0.0977444
si6_r005_m400.06 2 1 1 1 1 4 453 33 123 110 8 1 1 si6_r005_m400.06 240 0.0998605 400 0.0977694
si6_r005_m400.08 6 4 4 4 2 7 556 185 259 263 798 2 4 si6_r005_m400.08 240 0.0986402 400 0.0976692
si6_m4Dr6_m625.04 1 1 1 0 1 6 92 38 0 80 1 1 1 si6_m4Dr6_m625.04 375 0.013918 625 0.0106359
si6_m4Dr6_m625.01 1 0 1 1 1 6 80 22 0 23 0 1 0 si6_m4Dr6_m625.01 375 0.0150303 625 0.0106359
si6_m4Dr6_m625.09 1 1 1 1 1 4 91 38 0 97 1 1 1 si6_m4Dr6_m625.09 375 0.0139465 625 0.0106359
si6_m4Dr6_m625.07 1 0 1 1 1 6 49 37 0 45 1 1 0 si6_m4Dr6_m625.07 375 0.0142032 625 0.0106308
si6_m4Dr6_m625.00 1 1 1 1 1 6 51 39 0 47 0 1 1 si6_m4Dr6_m625.00 375 0.013918 625 0.0106308
si6_m4Dr6_m625.08 1 1 1 0 1 4 56 35 0 126 1 1 1 si6_m4Dr6_m625.08 375 0.0127344 625 0.0106359
si6_m4Dr6_m625.05 1 0 0 0 1 7 50 22 0 60 1 1 0 si6_m4Dr6_m625.05 375 0.0142317 625 0.0106308
si6_m4Dr6_m625.06 1 0 1 0 1 4 89 22 0 78 1 1 0 si6_m4Dr6_m625.06 375 0.0145312 625 0.0106359
si6_m4Dr6_m625.02 1 1 1 0 1 6 96 23 0 69 1 1 1 si6_m4Dr6_m625.02 375 0.0135615 625 0.0106308
si6_m4Dr6_m625.03 1 1 1 1 1 7 47 23 0 31 1 1 1 si6_m4Dr6_m625.03 375 0.014303 625 0.0106308
si4_m4Dr2_m625.09 0 0 0 0 0 3 31 23 0 47 0 0 0 si4_m4Dr2_m625.09 250 0.016257 625 0.00935385
si4_m4Dr2_m625.04 1 1 1 2 0 7 65 34 0 53 3 0 1 si4_m4Dr2_m625.04 250 0.0163213 625 0.00935897
si4_m4Dr2_m625.02 0 0 0 0 0 4 29 12 0 47 0 0 0 si4_m4Dr2_m625.02 250 0.0177671 625 0.00934872
si4_m4Dr2_m625.07 0 0 0 0 0 4 27 21 0 15 0 0 0 si4_m4Dr2_m625.07 250 0.0188594 625 0.00935897
si4_m4Dr2_m625.00 0 0 0 0 0 4 29 12 0 42 0 0 0 si4_m4Dr2_m625.00 250 0.0173173 625 0.00935897
si4_m4Dr2_m625.08 0 0 0 0 0 5 53 13 0 48 0 0 0 si4_m4Dr2_m625.08 250 0.0174137 625 0.00935897
si4_m4Dr2_m625.01 0 0 0 0 0 2 51 21 0 47 0 0 0 si4_m4Dr2_m625.01 250 0.0176386 625 0.00935897
si4_m4Dr2_m625.06 0 0 0 0 0 4 50 12 0 31 0 0 0 si4_m4Dr2_m625.06 250 0.0171245 625 0.00935897
si4_m4Dr2_m625.03 1 0 1 0 0 4 57 16 0 63 1 0 0 si4_m4Dr2_m625.03 250 0.0169317 625 0.00935897
si4_m4Dr2_m625.05 0 0 0 0 0 4 57 13 0 33 0 0 0 si4_m4Dr2_m625.05 250 0.0166426 625 0.00935385
si2_r001_m600.00 1000000 1000000 1000000 1000000 73 1000000 57 1000000 12 16 1663 73 173 si2_r001_m600.00 120 0.0308123 600 0.0201781
si2_r001_m600.06 1000000 1000000 1000000 1000000 7 1000000 103 1000000 24 26 338 7 107 si2_r001_m600.06 120 0.0259104 600 0.0201781
si2_r001_m600.04 25 24 28 24 2 61 45 192 8 12 10 2 24 si2_r001_m600.04 120 0.0312325 600 0.020256
si2_r001_m600.07 1000000 1000000 1000000 1000000 19 1000000 77 1000000 185 104 6896 19 119 si2_r001_m600.07 120 0.0294118 600 0.0201336
si2_r001_m600.02 1000000 1000000 1000000 1000000 87 1000000 28 251906 833 634 1133 87 187 si2_r001_m600.02 120 0.0303922 600 0.0201169
si2_r001_m600.08 1000000 1000000 1000000 1000000 94 1000000 59 1000000 781 588 24112 94 194 si2_r001_m600.08 120 0.0278711 600 0.020128
si2_r001_m600.03 1000000 1000000 1000000 1000000 3835 1000000 61 1000000 21450 16622 1000000 1000000 3935 si2_r001_m600.03 120 0.0270308 600 0.0201558
si2_r001_m600.01 262244 251581 253848 253794 38 547501 31 587306 60 53 2539 38 138 si2_r001_m600.01 120 0.0295518 600 0.0201781
si2_r001_m600.05 328508 317559 319189 316763 37 742688 57 245218 78 67 471 37 137 si2_r001_m600.05 120 0.0303922 600 0.0201503
si2_r001_m600.09 1000000 1000000 1000000 1000000 1311 1000000 29 1000000 3309 2413 179464 1000000 1411 si2_r001_m600.09 120 0.0298319 600 0.0201836
si2_m4Dr2_m256.09 4 4 4 4 1 12 7 18 4 6 4 1 4 si2_m4Dr2_m256.09 51 0.0752941 256 0.0221507
si2_m4Dr2_m256.03 19 36 22 22 28 50 65 40 66 42 72 28 36 si2_m4Dr2_m256.03 51 0.0658824 256 0.0221201
si2_m4Dr2_m256.04 24 16 26 16 16 38 8 113 23 17 25 16 16 si2_m4Dr2_m256.04 51 0.0784314 256 0.0221507
si2_m4Dr2_m256.07 0 0 0 0 0 1 3 1 0 1 0 0 0 si2_m4Dr2_m256.07 51 0.065098 256 0.0221201
si2_m4Dr2_m256.00 3 3 2 2 1 9 6 25 4 6 11 1 3 si2_m4Dr2_m256.00 51 0.0713725 256 0.0221507
